id,name,url,img_url,category,location,booked_counts,discount_percentage,item_count,page_count,created_dt,last_updated_dt,zeroflag
191,"Pampas Reserve (Suasana Bukit Ceylon)",http://offpeak.my/restaurant/191/pampas-reserve-suasana-bukit-ceylon,http://offpeak.my/assets/restaurant/191/gallery/88ddc426cf912e4b83d851bfc572898d_sq.jpg,Steakhouse,"Kuala Lumpur",312,30%,19,66,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
192,"51 Restaurant & Bar @ Radius Hotel",http://offpeak.my/restaurant/192/51-restaurant-bar-at-radius-hotel,http://offpeak.my/assets/restaurant/192/gallery/60ff4f808cba8d659273ae25050d9377_sq.jpg,Steakhouse,"Kuala Lumpur",57,20%,1,67,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
194,"Salad Atelier (The Weld)",http://offpeak.my/restaurant/194/salad-atelier-the-weld,http://offpeak.my/assets/restaurant/194/gallery/85930520024e6cfc0d1899320d5531fe_sq.jpg,"Healthy eating","Kuala Lumpur",5677,30%,17,66,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
196,"El Cerdo (Changkat Bukit Bintang)",http://offpeak.my/restaurant/196/el-cerdo-changkat-bukit-bintang,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/196/Restaurant_Gallery/58db1b613b268_sq.jpg,Spanish,"Kuala Lumpur",80,25%,16,1,"2017-04-28 11:34:13","2017-04-28 12:10:01",0
197,"The Whisky Bar (Changkat Bukit Bintang)",http://offpeak.my/restaurant/197/the-whisky-bar-changkat-bukit-bintang,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/197/Restaurant_Gallery/58db21ff249cc_sq.jpg,Western,"Kuala Lumpur",12,25%,20,1,"2017-04-28 11:34:13","2017-04-28 12:10:01",0
198,"The Steakhouse (Changkat Bukit Bintang)",http://offpeak.my/restaurant/198/the-steakhouse-changkat-bukit-bintang,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/198/Restaurant_Gallery/58db1d683602e_sq.jpg,Western,"Kuala Lumpur",82,25%,19,1,"2017-04-28 11:34:13","2017-04-28 12:10:01",0
199,"Opium (Changkat Bukit Bintang)",http://offpeak.my/restaurant/199/opium-changkat-bukit-bintang,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/199/Restaurant_Gallery/58db23e762cb6_sq.jpg,Asian,"Kuala Lumpur",40,25%,18,1,"2017-04-28 11:34:13","2017-04-28 12:10:01",0
200,"Sentidos Gastrobar & Dining (Starhill)",http://offpeak.my/restaurant/200/sentidos-gastrobar-dining-starhill,http://offpeak.my/assets/restaurant/200/gallery/59583c84cf9e8011d9c9ad8496cb072c_sq.jpg,Spanish,"Kuala Lumpur",39,25%,15,66,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
201,"Pak Loh Chiu Chow (Starhill Gallery)",http://offpeak.my/restaurant/201/pak-loh-chiu-chow-starhill-gallery,http://offpeak.my/assets/restaurant/201/gallery/ebb88f41f79950807d60bde19f4179e5_sq.jpg,Chinese,"Kuala Lumpur",139,25%,13,66,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
208,"Coliseum Cafe (Jalan TAR)",http://offpeak.my/restaurant/208/coliseum-cafe-jalan-tar,http://offpeak.my/assets/restaurant/208/gallery/63732d53b51e4a50ef3fcfdbf116d0ff_sq.jpg,Western,"Kuala Lumpur",344,30%,6,33,"2017-04-28 11:52:34","2017-04-28 11:52:34",0
209,"Coliseum Cafe (The Gardens)",http://offpeak.my/restaurant/209/coliseum-cafe-the-gardens,http://offpeak.my/assets/restaurant/209/gallery/9f434d39245716df1df3ee1a8878c1bb_sq.jpg,Western,"Kuala Lumpur",643,30%,5,33,"2017-04-28 11:52:34","2017-04-28 11:52:34",0
210,"Coliseum Cafe (Plaza 33)",http://offpeak.my/restaurant/210/coliseum-cafe-plaza-33,http://offpeak.my/assets/restaurant/210/gallery/606455f1f19dcf944af268b75dabd1a5_sq.jpg,Western,Selangor,529,30%,4,33,"2017-04-28 11:52:34","2017-04-28 11:52:34",0
211,"Big Hug Burger (SS15)",http://offpeak.my/restaurant/211/big-hug-burger-ss15,http://offpeak.my/assets/restaurant/211/gallery/6deb5fa9879575eb15eca1aaa6162a46_sq.png,Burger,Selangor,913,20%,1,65,"2017-04-28 11:53:01","2017-04-28 11:53:01",0
213,"Jiak & Koffi Cafetta Cafe (Butterworth)",http://offpeak.my/restaurant/213/jiak-koffi-cafetta-cafe-butterworth,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/213/Restaurant_Gallery/58da01c6bab51_sq.jpg,Fusion,Penang,11,15%,2,2,"2017-04-28 11:52:07","2017-04-28 11:52:07",0
216,"Dining In The Dark (Changkat Bukit Bintang)",http://offpeak.my/restaurant/216/dining-in-the-dark-changkat-bukit-bintang,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/216/Restaurant_Gallery/58db294ce669d_sq.jpg,International,"Kuala Lumpur",50,20%,17,1,"2017-04-28 11:34:13","2017-04-28 12:10:01",0
217,"Figure Fuel (Sunway Velocity Mall)",http://offpeak.my/restaurant/217/figure-fuel-sunway-velocity-mall,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/217/Restaurant_Gallery/58db78ca6be50_sq.jpg,"Fast Food",Selangor,6,15%,8,1,"2017-04-28 11:34:13","2017-04-28 12:10:01",0
218,"Kenny Rogers ROASTERS (Subang Parade)",http://offpeak.my/restaurant/218/kenny-rogers-roasters-subang-parade,http://offpeak.my/assets/restaurant/218/gallery/b372119ed1776cef043fd89b10e0474d_sq.jpg,Fusion,Selangor,125,30%,12,66,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
219,"Crispy Crust (Sunway Pyramid)",http://offpeak.my/restaurant/219/crispy-crust-sunway-pyramid,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/219/Restaurant_Gallery/58dcb410b3388_sq.jpg,"Fast Food",Selangor,14,20%,5,1,"2017-04-28 11:34:13","2017-04-28 12:10:01",0
221,"Emperor Chinese @ Dorsett Grand Subang",http://offpeak.my/restaurant/221/emperor-chinese-at-dorsett-grand-subang,http://offpeak.my/assets/restaurant/221/gallery/61e7b70945a4d88ddc0b32e4e92568fb_sq.jpg,Chinese,Selangor,54,20%,7,66,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
222,"Cafe Aroma @ Dorsett Grand Subang",http://offpeak.my/restaurant/222/cafe-aroma-at-dorsett-grand-subang,http://offpeak.my/assets/restaurant/222/gallery/22068bd049452ab530b25ac25ebd6491_sq.jpg,Café,Bistro,27,20%,5,66,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
223,"Terazza Brasserie @ Dorsett Grand Subang",http://offpeak.my/restaurant/223/terazza-brasserie-at-dorsett-grand-subang,http://offpeak.my/assets/restaurant/223/gallery/98b4562fe704ac1ec00623f3baa51612_sq.jpg,International,Selangor,275,20%,6,66,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
224,"Piano Lounge @ Dorsett Grand Subang",http://offpeak.my/restaurant/224/piano-lounge-at-dorsett-grand-subang,http://offpeak.my/assets/restaurant/224/gallery/6522eb56411bb81d33cc3587cd19d4b3_sq.jpg,"Pub & Bar",Selangor,26,20%,4,66,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
227,"South Pacific Cafe & Boutique (Cheras)",http://offpeak.my/restaurant/227/south-pacific-cafe-boutique-cheras,http://offpeak.my/assets/restaurant/227/gallery/0f8827231752a35d2a8c04056a478ee6_sq.JPG,Fusion,"Kuala Lumpur",94,30%,3,66,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
228,"Kenny Rogers ROASTERS (Cheras Leisure Mall)",http://offpeak.my/restaurant/228/kenny-rogers-roasters-cheras-leisure-mall,http://offpeak.my/assets/restaurant/228/gallery/a09789c52ffe3be7d54afa7a597fa2fd_sq.jpg,Fusion,"Kuala Lumpur",86,30%,11,66,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
229,"Kenny Rogers ROASTERS (KL Sentral ERL)",http://offpeak.my/restaurant/229/kenny-rogers-roasters-kl-sentral-erl,http://offpeak.my/assets/restaurant/229/gallery/63e8dfd700a322613a210bd7f7e3879c_sq.jpg,Fusion,"Kuala Lumpur",99,30%,10,66,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
230,"Kenny Rogers ROASTERS (Tropicana City Mall)",http://offpeak.my/restaurant/230/kenny-rogers-roasters-tropicana-city-mall,http://offpeak.my/assets/restaurant/230/gallery/c8d70cd96835907d9857546313206f7f_sq.jpg,Fusion,Selangor,150,30%,9,66,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
231,"Kenny Rogers ROASTERS (Setia City Mall)",http://offpeak.my/restaurant/231/kenny-rogers-roasters-setia-city-mall,http://offpeak.my/assets/restaurant/231/gallery/6e51bc06912fdb4328a62dcc2102603c_sq.jpg,Fusion,Selangor,135,30%,8,66,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
239,"DBen Coffee And Jelly (Teluk Intan)",http://offpeak.my/restaurant/239/dben-coffee-and-jelly-teluk-intan,http://offpeak.my/assets/restaurant/239/gallery/ca25c81a0df905f8c8e2d92284f4c989_sq.jpg,Café,Bistro,110,20%,2,66,"2017-04-28 11:53:02","2017-04-28 11:53:02",0
243,"Salad Atelier (Intermark)",http://offpeak.my/restaurant/243/salad-atelier-intermark,http://offpeak.my/assets/restaurant/243/gallery/3bb429eb0e35c5989de31a7a26e77dc0_sq.jpg,"Healthy eating","Kuala Lumpur",6807,35%,1,66,"2017-04-28 11:53:02","2017-04-28 12:11:02",0
247,"Grafa (SS15)",http://offpeak.my/restaurant/247/grafa-ss15,http://offpeak.my/assets/restaurant/247/gallery/a86cefbb6667faf446f22daecb98fc99_sq.jpg,Fusion,Selangor,14,0%,20,65,"2017-04-28 11:53:01","2017-04-28 11:53:01",0
249,"Kapten Steamboat & Grill (SS15)",http://offpeak.my/restaurant/249/kapten-steamboat-grill-ss15,http://offpeak.my/assets/restaurant/249/gallery/9ad0b30a3df2c4d8d6cb7a12956d2631_sq.jpg,Fusion,Selangor,237,10%,19,65,"2017-04-28 11:53:01","2017-04-28 11:53:01",0
250,"vburgcafe (JB)",http://offpeak.my/restaurant/250/vburgcafe-jb,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/250/Restaurant_Gallery/58eafcd476bb9_sq.jpg,Vegetarian,Johor,12,20%,6,1,"2017-04-28 11:34:13","2017-04-28 12:10:01",0
254,"Salad Atelier (Starling Mall)",http://offpeak.my/restaurant/254/salad-atelier-starling-mall,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/254/Restaurant_Gallery/58eb3dafba20d_sq.jpg,"Healthy eating",Selangor,82,30%,4,1,"2017-04-28 11:34:13","2017-04-28 12:10:01",0
258,"Unique Seafood PJ23 (Section 13,PJ)",http://offpeak.my/restaurant/258/unique-seafood-pj23-section-13pj,http://offpeak.my/assets/restaurant/258/gallery/add85a050b7c44453df355bca3b7f111_sq.JPG,Seafood,Selangor,1998,50%,1,3,"2017-04-28 11:52:08","2017-04-28 11:52:08",0
262,"Nook @ Aloft KL Sentral",http://offpeak.my/restaurant/262/nook-at-aloft-kl-sentral,http://offpeak.my/assets/restaurant/262/gallery/c2863cb68f1d809d2b040ddf67aa9319_sq.jpg,International,"Kuala Lumpur",191,20%,18,65,"2017-04-28 11:53:01","2017-04-28 11:53:01",0
263,"Elite Seafood Restaurant (Section 13,PJ)",http://offpeak.my/restaurant/263/elite-seafood-restaurant-section-13pj,http://offpeak.my/assets/restaurant/263/gallery/6e017f4d7976685bad771d3c68401fe6_sq.jpg,Seafood,Selangor,1319,50%,2,3,"2017-04-28 11:52:08","2017-04-28 11:52:08",0
270,"Marhaba Restaurant (Publika)",http://offpeak.my/restaurant/270/marhaba-restaurant-publika,https://s3-ap-southeast-1.amazonaws.com/offpeak/Malaysia/270/Restaurant_Gallery/58f7251b15361_sq.JPG,"Middle Eastern","Wilayah Persekutuan",0,25%,2,1,"2017-04-28 11:34:13","2017-04-28 12:10:01",1
287,"myELEPHANT Thai Restaurant (Ampang)",http://offpeak.my/restaurant/287/myelephant-thai-restaurant-ampang,http://offpeak.my/assets/restaurant/287/gallery/a69488118e9ad23f7c95150165ffcac5_sq.JPG,Thai,Selangor,567,20%,7,65,"2017-04-28 11:53:01","2017-04-28 11:53:01",0
290,"myELEPHANT Thai Restaurant (USJ 9)",http://offpeak.my/restaurant/290/myelephant-thai-restaurant-usj-9,http://offpeak.my/assets/restaurant/290/gallery/d22f5b006cd3f1d4df531eb906e5f6da_sq.JPG,Thai,Selangor,661,30%,9,20,"2017-04-28 11:52:23","2017-04-28 11:52:23",0
291,"Good Friends Restaurant & Cafe (SS15)",http://offpeak.my/restaurant/291/good-friends-restaurant-cafe-ss15,http://offpeak.my/assets/restaurant/291/gallery/1e3178589b6b9922cd5cebbd649036d6_sq.jpg,Fusion,Selangor,3111,10%,5,65,"2017-04-28 11:53:01","2017-04-28 11:53:01",0
